Project	Task	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE	LIBRARY	READ_GROUP
yuankun/kf-alignment-rerun	Rios-2016-AIS: file: SL248493.bam	SECOND_OF_PAIR	422002247	422002247	1	0	419672960	0.99448	60308426143	392499971	56665698113	52165806138	0	0.012274	0.011855	0.000224	151	419659101	0.999967	0	0.500075	0.006046	0.000006	SM0	LB0	
yuankun/kf-alignment-rerun	Rios-2016-AIS: file: SL248493.bam	PAIR	844004494	844004494	1	0	841661348	0.997224	121718736065	787789444	114379974098	107897677987	0	0.009222	0.008801	0.000228	151	839318202	0.997216	0	0.499831	0.005948	0.000003	SM0	LB0	
yuankun/kf-alignment-rerun	Rios-2016-AIS: file: SL248454.bam	FIRST_OF_PAIR	503261295	503261295	1	0	503186855	0.999852	74709338699	470913626	70170443490	68780159951	0	0.005282	0.004768	0.000256	151	500635535	0.99493	0	0.49971	0.006882	0.000002	SM0		
yuankun/kf-alignment-rerun	Rios-2016-AIS: file: SL248454.bam	SECOND_OF_PAIR	503261295	503261295	1	0	500709975	0.99493	73248467152	467869103	68787007993	64438437826	0	0.011628	0.011131	0.000246	151	500635535	0.999851	0	0.499894	0.008427	0.000012	SM0		
yuankun/kf-alignment-rerun	Rios-2016-AIS: file: SL248454.bam	PAIR	1006522590	1006522590	1	0	1003896830	0.997391	147957805851	938782729	138957451483	133218597777	0	0.008423	0.007918	0.000251	151	1001271070	0.997384	0	0.499802	0.007653	0.000007	SM0		
yuankun/kf-alignment-rerun	Rios-2016-AIS: file: SL248454.bam	FIRST_OF_PAIR	503261295	503261295	1	0	503186855	0.999852	74709338699	470913626	70170443490	68780159951	0	0.005282	0.004768	0.000256	151	500635535	0.99493	0	0.49971	0.006882	0.000002	SM0	LB0	
yuankun/kf-alignment-rerun	Rios-2016-AIS: file: SL248454.bam	SECOND_OF_PAIR	503261295	503261295	1	0	500709975	0.99493	73248467152	467869103	68787007993	64438437826	0	0.011628	0.011131	0.000246	151	500635535	0.999851	0	0.499894	0.008427	0.000012	SM0	LB0	
yuankun/kf-alignment-rerun	Rios-2016-AIS: file: SL248454.bam	PAIR	1006522590	1006522590	1	0	1003896830	0.997391	147957805851	938782729	138957451483	133218597777	0	0.008423	0.007918	0.000251	151	1001271070	0.997384	0	0.499802	0.007653	0.000007	SM0	LB0	
yuankun/kf-alignment-rerun	Rios-2016-AIS: file: SL248490.bam	FIRST_OF_PAIR	405597752	405597752	1	0	405581545	0.99996	59213024477	378441266	55433481779	54571928041	0	0.005012	0.004511	0.000243	151	402051860	0.991297	0	0.499772	0.006534	0.000002	SM0		
yuankun/kf-alignment-rerun	Rios-2016-AIS: file: SL248490.bam	SECOND_OF_PAIR	405597752	405597752	1	0	402068067	0.991298	57710982945	374404549	54012795802	50231856434	0	0.01333	0.012829	0.000232	151	402051860	0.99996	0	0.499944	0.007339	0.00001	SM0		
yuankun/kf-alignment-rerun	Rios-2016-AIS: file: SL248490.bam	PAIR	811195504	811195504	1	0	807649612	0.995629	116924007422	752845815	109446277581	104803784475	0	0.009117	0.008616	0.000237	151	804103720	0.99561	0	0.499858	0.006935	0.000006	SM0		
yuankun/kf-alignment-rerun	Rios-2016-AIS: file: SL248490.bam	FIRST_OF_PAIR	405597752	405597752	1	0	405581545	0.99996	59213024477	378441266	55433481779	54571928041	0	0.005012	0.004511	0.000243	151	402051860	0.991297	0	0.499772	0.006534	0.000002	SM0	LB0	
