0016b2d9-52b7-49c9-a034-c01a6071aacb.bam BS_CXN0498B
120926_I1082_FCC0HGCACXX_L4_ARCGHmMAADAABPEI_36_1.fq.gz BS_K6JY3M0V
120926_I1082_FCC0HGCACXX_L4_ARCGHmMAADAABPEI_36_2.fq.gz BS_K6JY3M0V
120926_I1082_FCC0HGCACXX_L5_ARCGHmMAAAAAAPEI_19_1.fq.gz BS_KDB5C1HY
120926_I1082_FCC0HGCACXX_L5_ARCGHmMAAAAAAPEI_19_2.fq.gz BS_KDB5C1HY
120926_I1082_FCC0HGCACXX_L6_ARCGHmMAABAAAPEI_25_1.fq.gz BS_9P32FD88
120926_I1082_FCC0HGCACXX_L6_ARCGHmMAABAAAPEI_25_2.fq.gz BS_9P32FD88
120926_I1082_FCC0HGCACXX_L7_ARCGHmMAACAAAPEI_31_1.fq.gz BS_2FHR8SKQ
120926_I1082_FCC0HGCACXX_L7_ARCGHmMAACAAAPEI_31_2.fq.gz BS_2FHR8SKQ
120926_I1082_FCC0HGCACXX_L8_ARCGHmMAADAAAPEI_34_1.fq.gz BS_K6JY3M0V
120926_I1082_FCC0HGCACXX_L8_ARCGHmMAADAAAPEI_34_2.fq.gz BS_K6JY3M0V
121006_I1069_FCC0HHAACXX_L1_ARCGHmMAAAAABPEI_24_1.fq.gz BS_KDB5C1HY
121006_I1069_FCC0HHAACXX_L1_ARCGHmMAAAAABPEI_24_2.fq.gz BS_KDB5C1HY
121006_I1069_FCC0HHAACXX_L2_ARCGHmMAABAABPEI_26_1.fq.gz BS_9P32FD88
121006_I1069_FCC0HHAACXX_L2_ARCGHmMAABAABPEI_26_2.fq.gz BS_9P32FD88
121006_I1069_FCC0HHAACXX_L3_ARCGHmMAACAABPEI_33_1.fq.gz BS_2FHR8SKQ
121006_I1069_FCC0HHAACXX_L3_ARCGHmMAACAABPEI_33_2.fq.gz BS_2FHR8SKQ
121006_I1069_FCC0HHAACXX_L4_ARCGHmMAADAABPEI_36_1.fq.gz BS_K6JY3M0V
121006_I1069_FCC0HHAACXX_L4_ARCGHmMAADAABPEI_36_2.fq.gz BS_K6JY3M0V
121006_I1069_FCC0HHAACXX_L7_ARCGHmMAAEAAAPEI_19_1.fq.gz BS_SM18KGAP
121006_I1069_FCC0HHAACXX_L7_ARCGHmMAAEAAAPEI_19_2.fq.gz BS_SM18KGAP
121006_I1069_FCC0HHAACXX_L8_ARCGHmMAAEAABPEI_24_1.fq.gz BS_SM18KGAP
121006_I1069_FCC0HHAACXX_L8_ARCGHmMAAEAABPEI_24_2.fq.gz BS_SM18KGAP
121009_I1009_FCD0R6NACXX_L7_ARCGHmMAAEAAAPEI_19_1.fq.gz BS_SM18KGAP
121009_I1009_FCD0R6NACXX_L7_ARCGHmMAAEAAAPEI_19_2.fq.gz BS_SM18KGAP
121009_I1009_FCD0R6NACXX_L8_ARCGHmMAAEAABPEI_24_1.fq.gz BS_SM18KGAP
121009_I1009_FCD0R6NACXX_L8_ARCGHmMAAEAABPEI_24_2.fq.gz BS_SM18KGAP
121011_I1082_FCC0H9BACXX_L7_ARCGHmMAAEAAAPEI_19_1.fq.gz BS_SM18KGAP
121011_I1082_FCC0H9BACXX_L7_ARCGHmMAAEAAAPEI_19_2.fq.gz BS_SM18KGAP
121011_I1082_FCC0H9BACXX_L8_ARCGHmMAAEAABPEI_24_1.fq.gz BS_SM18KGAP
121011_I1082_FCC0H9BACXX_L8_ARCGHmMAAEAABPEI_24_2.fq.gz BS_SM18KGAP
121b1005-171c-4492-8069-80671323088a.bam BS_5W7XJ4D8
121b1005-171c-4492-8069-80671323088a.local.transcript.bam BS_5W7XJ4D8
1277bdb6-e20c-4383-818b-d0ad6100280c.bam BS_B09CY0SZ
1277bdb6-e20c-4383-818b-d0ad6100280c.local.transcript.bam BS_B09CY0SZ
12b6d2d6-a6b4-4d6c-b22c-edbb9b22afc2.bam BS_823V5X6Z
12e9ddce-3170-4156-a1ab-5c81d5d2e1cd.bam BS_Q057HMMJ
12e9ddce-3170-4156-a1ab-5c81d5d2e1cd.local.transcript.bam BS_Q057HMMJ
130312_I1125_FCC1PR4ACXX_L6_ARCGHMM026AOAAAPEI-89_1.fq.gz BS_YA15CCPX
130312_I1125_FCC1PR4ACXX_L6_ARCGHMM026AOAAAPEI-89_2.fq.gz BS_YA15CCPX
130312_I1125_FCC1PR4ACXX_L7_ARCGHMM026APAAAPEI-90_1.fq.gz BS_YA15CCPX
130312_I1125_FCC1PR4ACXX_L7_ARCGHMM026APAAAPEI-90_2.fq.gz BS_YA15CCPX
130320_I1135_FCC0YIFACXX_L1_ARCGHMM026APAAAPEI-90_1.fq.gz BS_YA15CCPX
130320_I1135_FCC0YIFACXX_L1_ARCGHMM026APAAAPEI-90_2.fq.gz BS_YA15CCPX
130320_I1135_FCD24LLACXX_L1_ARCGHMM026AOAAAPEI-89_1.fq.gz BS_YA15CCPX
130320_I1135_FCD24LLACXX_L1_ARCGHMM026AOAAAPEI-89_2.fq.gz BS_YA15CCPX
130320_I1135_FCD24LLACXX_L2_ARCGHMM026AOAAAPEI-89_1.fq.gz BS_YA15CCPX
130320_I1135_FCD24LLACXX_L2_ARCGHMM026AOAAAPEI-89_2.fq.gz BS_YA15CCPX
130320_I1135_FCD24LLACXX_L3_ARCGHMM026AOAAAPEI-89_1.fq.gz BS_YA15CCPX
130320_I1135_FCD24LLACXX_L3_ARCGHMM026AOAAAPEI-89_2.fq.gz BS_YA15CCPX
130320_I1135_FCD24LLACXX_L4_ARCGHMM026APAAAPEI-90_1.fq.gz BS_YA15CCPX
130320_I1135_FCD24LLACXX_L4_ARCGHMM026APAAAPEI-90_2.fq.gz BS_YA15CCPX
130702_I1069_FCC21WAACXX_L2_CGSGHmM041ACAAAPEI-25_1.fq.gz BS_2EJ0884E
130702_I1069_FCC21WAACXX_L2_CGSGHmM041ACAAAPEI-25_2.fq.gz BS_2EJ0884E
130702_I1069_FCC21WAACXX_L4_CGSGHmM041AGAAAPEI-34_1.fq.gz BS_VEAE900A
130702_I1069_FCC21WAACXX_L4_CGSGHmM041AGAAAPEI-34_2.fq.gz BS_VEAE900A
130710_I1089_FCD23J7ACXX_L2_CGSGHmM041AKAAAPEI-55_1.fq.gz BS_DJ2Y1330
130710_I1089_FCD23J7ACXX_L2_CGSGHmM041AKAAAPEI-55_2.fq.gz BS_DJ2Y1330
130710_I1089_FCD23J7ACXX_L6_CGSGHmM041ADAAAPEI-26_1.fq.gz BS_2EJ0884E
130710_I1089_FCD23J7ACXX_L6_CGSGHmM041ADAAAPEI-26_2.fq.gz BS_2EJ0884E
130710_I1089_FCD23J7ACXX_L7_CGSGHmM041ADAAAPEI-26_1.fq.gz BS_2EJ0884E
130710_I1089_FCD23J7ACXX_L7_CGSGHmM041ADAAAPEI-26_2.fq.gz BS_2EJ0884E
130710_I1089_FCD23JEACXX_L3_CGSGHmM041AHAAAPEI-36_1.fq.gz BS_VEAE900A
130710_I1089_FCD23JEACXX_L3_CGSGHmM041AHAAAPEI-36_2.fq.gz BS_VEAE900A
130710_I1089_FCD23JEACXX_L4_CGSGHmM041AHAAAPEI-36_1.fq.gz BS_VEAE900A
130710_I1089_FCD23JEACXX_L4_CGSGHmM041AHAAAPEI-36_2.fq.gz BS_VEAE900A
130711_I1082_FCC21WLACXX_L5_CGSGHmM041ALAAAPEI-56_1.fq.gz BS_DJ2Y1330
130711_I1082_FCC21WLACXX_L5_CGSGHmM041ALAAAPEI-56_2.fq.gz BS_DJ2Y1330
130711_I1082_FCC21WLACXX_L6_CGSGHmM041ALAAAPEI-56_1.fq.gz BS_DJ2Y1330
130711_I1082_FCC21WLACXX_L6_CGSGHmM041ALAAAPEI-56_2.fq.gz BS_DJ2Y1330
130711_I1082_FCD23E2ACXX_L5_CGSGHmM041AOAAAPEI-75_1.fq.gz BS_TH09BCAB
130711_I1082_FCD23E2ACXX_L5_CGSGHmM041AOAAAPEI-75_2.fq.gz BS_TH09BCAB
130711_I1082_FCD23E2ACXX_L6_CGSGHmM041APAAAPEI-88_1.fq.gz BS_TH09BCAB
130711_I1082_FCD23E2ACXX_L6_CGSGHmM041APAAAPEI-88_2.fq.gz BS_TH09BCAB
130711_I1082_FCD23E2ACXX_L7_CGSGHmM041APAAAPEI-88_1.fq.gz BS_TH09BCAB
130711_I1082_FCD23E2ACXX_L7_CGSGHmM041APAAAPEI-88_2.fq.gz BS_TH09BCAB
130711_I1082_FCD23E2ACXX_L8_CGSGHmM041AQAAAPEI-89_1.fq.gz BS_V9E39937
130711_I1082_FCD23E2ACXX_L8_CGSGHmM041AQAAAPEI-89_2.fq.gz BS_V9E39937
130716_I1074_FCH0Y0EADXX_L1_index90_1.fq.gz BS_V9E39937
130716_I1074_FCH0Y0EADXX_L1_index90_2.fq.gz BS_V9E39937
130716_I1074_FCH0Y0EADXX_L2_index90_1.fq.gz BS_V9E39937
130716_I1074_FCH0Y0EADXX_L2_index90_2.fq.gz BS_V9E39937
130717_I1069_FCD22VKACXX_L1_CGSGHmM041ASAAAPEI-93_1.fq.gz BS_70S1Z3QR
130717_I1069_FCD22VKACXX_L1_CGSGHmM041ASAAAPEI-93_2.fq.gz BS_70S1Z3QR
130717_I1069_FCD23J4ACXX_L7_CGSGHmM041AQAAAPEI-89_1.fq.gz BS_V9E39937
130717_I1069_FCD23J4ACXX_L7_CGSGHmM041AQAAAPEI-89_2.fq.gz BS_V9E39937
130717_I1069_FCD23J4ACXX_L8_CGSGHmM041AQAAAPEI-89_1.fq.gz BS_V9E39937
130717_I1069_FCD23J4ACXX_L8_CGSGHmM041AQAAAPEI-89_2.fq.gz BS_V9E39937
130723_I1074_FCH0Y0GADXX_L1_CGSGHmM041ATAAAPEI-16_1.fq.gz BS_70S1Z3QR
130723_I1074_FCH0Y0GADXX_L1_CGSGHmM041ATAAAPEI-16_2.fq.gz BS_70S1Z3QR
130723_I1074_FCH0Y0GADXX_L2_CGSGHmM041ATAAAPEI-16_1.fq.gz BS_70S1Z3QR
130723_I1074_FCH0Y0GADXX_L2_CGSGHmM041ATAAAPEI-16_2.fq.gz BS_70S1Z3QR
130725_I1089_FCD23GWACXX_L1_CGSGHmM041ARAAAPEI-90_1.fq.gz BS_V9E39937
130725_I1089_FCD23GWACXX_L1_CGSGHmM041ARAAAPEI-90_2.fq.gz BS_V9E39937
130823_I1089_FCD27R4ACXX_L6_ARCGHmM044AFAAAPEI-33_1.fq.gz BS_FK3D33CG
130823_I1089_FCD27R4ACXX_L6_ARCGHmM044AFAAAPEI-33_2.fq.gz BS_FK3D33CG
130823_I1089_FCD27R4ACXX_L7_ARCGHmM044AHAAAPEI-36_1.fq.gz BS_RDXXQSEF
130823_I1089_FCD27R4ACXX_L7_ARCGHmM044AHAAAPEI-36_2.fq.gz BS_RDXXQSEF
130823_I1089_FCD27R4ACXX_L8_ARCGHmM044AKAAAPEI-55_1.fq.gz BS_ETTHEFJC
130823_I1089_FCD27R4ACXX_L8_ARCGHmM044AKAAAPEI-55_2.fq.gz BS_ETTHEFJC
130905_I1082_FCD21N0ACXX_L1_ARCGHmM044AKAAAPEI-55_1.fq.gz BS_ETTHEFJC
130905_I1082_FCD21N0ACXX_L1_ARCGHmM044AKAAAPEI-55_2.fq.gz BS_ETTHEFJC
130905_I1082_FCD21N0ACXX_L2_ARCGHmM044AKAAAPEI-55_1.fq.gz BS_ETTHEFJC
130905_I1082_FCD21N0ACXX_L2_ARCGHmM044AKAAAPEI-55_2.fq.gz BS_ETTHEFJC
130905_I1082_FCD21N0ACXX_L3_ARCGHmM044ALAAAPEI-56_1.fq.gz BS_ETTHEFJC
130905_I1082_FCD21N0ACXX_L3_ARCGHmM044ALAAAPEI-56_2.fq.gz BS_ETTHEFJC
130905_I1082_FCD21N0ACXX_L4_ARCGHmM044AIAAAPEI-37_1.fq.gz BS_9P8V28RT
130905_I1082_FCD21N0ACXX_L4_ARCGHmM044AIAAAPEI-37_2.fq.gz BS_9P8V28RT
130905_I1082_FCD21N0ACXX_L5_ARCGHmM044AJAAAPEI-41_1.fq.gz BS_9P8V28RT
130905_I1082_FCD21N0ACXX_L5_ARCGHmM044AJAAAPEI-41_2.fq.gz BS_9P8V28RT
130905_I1082_FCD2ERLACXX_L5_ARCGHmM044AEAAAPEI-31_1.fq.gz BS_FK3D33CG
130905_I1082_FCD2ERLACXX_L5_ARCGHmM044AEAAAPEI-31_2.fq.gz BS_FK3D33CG
130905_I1082_FCD2ERLACXX_L6_ARCGHmM044AFAAAPEI-33_1.fq.gz BS_FK3D33CG
130905_I1082_FCD2ERLACXX_L6_ARCGHmM044AFAAAPEI-33_2.fq.gz BS_FK3D33CG
130905_I1082_FCD2ERLACXX_L7_ARCGHmM044AGAAAPEI-34_1.fq.gz BS_RDXXQSEF
130905_I1082_FCD2ERLACXX_L7_ARCGHmM044AGAAAPEI-34_2.fq.gz BS_RDXXQSEF
130905_I1082_FCD2ERLACXX_L8_ARCGHmM044AHAAAPEI-36_1.fq.gz BS_RDXXQSEF
130905_I1082_FCD2ERLACXX_L8_ARCGHmM044AHAAAPEI-36_2.fq.gz BS_RDXXQSEF
130906_I1089_FCC2D5HACXX_L1_ARCGHmM044ALAAAPEI-56_1.fq.gz BS_ETTHEFJC
130906_I1089_FCC2D5HACXX_L1_ARCGHmM044ALAAAPEI-56_2.fq.gz BS_ETTHEFJC
130906_I1089_FCC2D5HACXX_L2_ARCGHmM044ALAAAPEI-56_1.fq.gz BS_ETTHEFJC
130906_I1089_FCC2D5HACXX_L2_ARCGHmM044ALAAAPEI-56_2.fq.gz BS_ETTHEFJC
130906_I1089_FCC2D5HACXX_L3_ARCGHmM044AIAAAPEI-37_1.fq.gz BS_9P8V28RT
