0016b2d9-52b7-49c9-a034-c01a6071aacb.bam BS_CXN0498B
2770fd0c-3e43-45ef-b352-c0b8cc410d04.bam BS_QDQ0JVCM
2770fd0c-3e43-45ef-b352-c0b8cc410d04.local.transcript.bam BS_QDQ0JVCM
28340673-af5b-4572-874e-3fffcdf9d629.bam BS_EK9ZP514
2897e4c0-5219-4732-8fc2-f562ef3ba235.bam BS_K049HVGR
28f3a4f7-e228-4d58-8142-cadadd9a8bff.bam BS_RCAZ62J7
292d80b7-a42f-4b62-833b-debfa3495662.bam BS_E8QVYKA0
292d80b7-a42f-4b62-833b-debfa3495662.local.transcript.bam BS_E8QVYKA0
29c49c28-553a-476f-8f96-24f228841c7e.bam BS_WG2M6NCE
2a1dca5c-a1eb-4887-8d02-185fa1a8d4fb.bam BS_HGP0PV0D
2a537e43-9cd9-49ae-8174-b28444ca14b5.bam BS_583ZMZRD
2a537e43-9cd9-49ae-8174-b28444ca14b5.local.transcript.bam BS_583ZMZRD
2a6d682c-29be-4952-abdc-25d2dcf966e3.bam BS_SSYNTXDC
2ac97545-52bd-4bd8-9da3-908dd1229aae.bam BS_DGE910TJ
2ac97545-52bd-4bd8-9da3-908dd1229aae.local.transcript.bam BS_DGE910TJ
2c4e0bc1-4dd4-4ade-b3ba-59b48d028ce7.bam BS_FQ2ZBMPA
2d7a25fb-e7da-4b0c-a8a1-434690c4977d.bam BS_20X874J5
2dadb8b9-14ce-4402-b9af-545231634038.bam BS_1C9YK8RK
2dadb8b9-14ce-4402-b9af-545231634038.local.transcript.bam BS_1C9YK8RK
2dea2d2e-b174-4d62-a693-6d67bc22f526.bam BS_39R2CADP
2dea2d2e-b174-4d62-a693-6d67bc22f526.local.transcript.bam BS_39R2CADP
2df3cc77-cbcf-4625-abf6-b74f3443d557.bam BS_8SETK1J4
2e0e3969-c0e2-49c8-9fbe-6e9392686c56.bam BS_KH3859M5
2e927ebb-adf5-4682-94fc-940de0db6cea.bam BS_4FSYM476
2e927ebb-adf5-4682-94fc-940de0db6cea.local.transcript.bam BS_4FSYM476
2ec7c58e-906f-4ee5-9e3e-b92c4cb9e6cc.bam BS_67FNR05B
2ec7c58e-906f-4ee5-9e3e-b92c4cb9e6cc.local.transcript.bam BS_67FNR05B
2eef414d-deae-4caa-9135-5ef31c051c7c.bam BS_J80KPTHA
2eef414d-deae-4caa-9135-5ef31c051c7c.local.transcript.bam BS_J80KPTHA
2fc3b3b6-121e-4977-a6f8-0b44f40f4ab8.bam BS_KPWRDRFP
2fe37ffd-1e6f-4261-a4f3-12fdce04076f.bam BS_PVYMDM18
3056b45d-df71-4b98-8b3e-01b0b78fc96c.bam BS_DW7Y4R7C
3056b45d-df71-4b98-8b3e-01b0b78fc96c.local.transcript.bam BS_DW7Y4R7C
30e386f0-e2f2-443c-abc3-e977051a4842.bam BS_5PNREEPG
30edcb8d-df25-4239-bac9-1884d65b4145.bam BS_4RB06AK9
30edcb8d-df25-4239-bac9-1884d65b4145.local.transcript.bam BS_4RB06AK9
30f4d658-e052-4c2a-b578-ac130954e406.bam BS_FBP5NZNR
315e404a-9e40-4efb-b789-21107326ba69.bam BS_W6WBX9G1
315e404a-9e40-4efb-b789-21107326ba69.local.transcript.bam BS_W6WBX9G1
31b589d1-0890-4df9-996e-b535b1500936.bam BS_DW1CYEXP
327fb21b-e3de-4f72-b0e8-2de27b67d205.bam BS_BFVT0XJR
327fb21b-e3de-4f72-b0e8-2de27b67d205.local.transcript.bam BS_BFVT0XJR
3341a7da-530f-4a27-99d5-e7c69dbb3abe.bam BS_TKF4H7CZ
33504e5e-bd5a-4984-a317-734753c9009b.bam BS_ASXY97FK
348421d4-32f6-4505-a2a8-2ece98648fb1.bam BS_AYPBAHJ6
3637db8e-a77b-47de-8343-49502c7f372a.bam BS_83B39445
3637db8e-a77b-47de-8343-49502c7f372a.local.transcript.bam BS_83B39445
368b8388-3e63-4187-af84-1da00ecef400.bam BS_YXCVR90M
36b5866f-c78d-484c-b544-30edd6c55ada.bam BS_7F596PRZ
36ba41f5-658b-4333-b04f-1298d81b69b7.bam BS_FC5P4F2N
36ba41f5-658b-4333-b04f-1298d81b69b7.local.transcript.bam BS_FC5P4F2N
3723f4d1-0759-488f-a61d-102cba15b29b.bam BS_FBFT81WY
3723f4d1-0759-488f-a61d-102cba15b29b.local.transcript.bam BS_FBFT81WY
37faa595-8e8b-46a8-83df-cb3013f9ed20.bam BS_3N1R41BK
37faa595-8e8b-46a8-83df-cb3013f9ed20.local.transcript.bam BS_3N1R41BK
388cf913-bb85-43e5-bf88-988a7ac47376.bam BS_39Q80NT3
389a8b08-20b5-448f-b6a6-f6949a34c814.bam BS_Q65R0AV1
389a8b08-20b5-448f-b6a6-f6949a34c814.local.transcript.bam BS_Q65R0AV1
38f0922c-5fb1-4939-bb17-99b90ef7c646.local.transcript.bam BS_5Y2FHAAC
390224de-8679-481a-980a-b1d328f23801.bam BS_SNC5WMVN
3907181e-6681-4d2b-a0a0-046d8deaf3e6.bam BS_SB3ENN6H
3907181e-6681-4d2b-a0a0-046d8deaf3e6.local.transcript.bam BS_SB3ENN6H
3942f879-2b1b-433d-886f-7087a971dcfb.bam BS_QYWPW4EG
3942f879-2b1b-433d-886f-7087a971dcfb.local.transcript.bam BS_QYWPW4EG
3b367730-e7a7-4d59-b35c-d29e0360eaf5.bam BS_5S8VXASX
3b3b490d-1dd6-40b8-8847-34ff630e159d.bam BS_EGHH4VF5
3b3b490d-1dd6-40b8-8847-34ff630e159d.local.transcript.bam BS_EGHH4VF5
3b8cf369-6dda-4e42-9a44-695a1733a7ad.bam BS_XKXDH0YJ
3c383b35-ab5d-4776-906f-551f83fe6af2.bam BS_DGD1J7V7
3c383b35-ab5d-4776-906f-551f83fe6af2.local.transcript.bam BS_DGD1J7V7
3c88bb4a-ceae-4b87-81a2-f48741aa3588.bam BS_T7WMJ08W
3cf48114-c430-41e7-86a0-bfa37841a2b4.bam BS_FJ4S0ZM4
3cf48114-c430-41e7-86a0-bfa37841a2b4.local.transcript.bam BS_FJ4S0ZM4
3ee1082f-54dd-4cb6-b721-d9978a178f46.bam BS_EM071B68
3ee1082f-54dd-4cb6-b721-d9978a178f46.local.transcript.bam BS_EM071B68
3ef8e612-c6f5-47f2-8873-3b554af9c35c.bam BS_GHEMJB5N
3ef8e612-c6f5-47f2-8873-3b554af9c35c.local.transcript.bam BS_GHEMJB5N
3f26b2c4-3de1-4063-b156-02408cfddb66.bam BS_KYPMZZSY
4005dbd7-ba63-4dec-bf4e-8c46a648fb5a.bam BS_1AZ8YJSH
40975f35-6288-4e44-a50f-fb8ea04b9b1a.bam BS_3BZTS9Y5
40975f35-6288-4e44-a50f-fb8ea04b9b1a.local.transcript.bam BS_3BZTS9Y5
4099305a-1b20-4609-8b14-e7698be762c7.bam BS_9M49SGAQ
40aac279-cad7-4f1e-8795-449c1f2b0c11.bam BS_885VBYNA
40aac279-cad7-4f1e-8795-449c1f2b0c11.local.transcript.bam BS_885VBYNA
41ced881-4d5c-47a1-9a7c-9d077ba61354.bam BS_MKEJGPJ2
41ced881-4d5c-47a1-9a7c-9d077ba61354.local.transcript.bam BS_MKEJGPJ2
422a6dad-bfee-4c5b-a162-5af9c18c2b62.bam BS_ZS1QRMXS
42b7d0f4-72b6-4e6a-84d6-9fe01cdfeb10.bam BS_0ZK8EWR3
42b7d0f4-72b6-4e6a-84d6-9fe01cdfeb10.local.transcript.bam BS_0ZK8EWR3
433b0ce5-2297-4aa0-8fb1-cf6faf3bb13f.bam BS_H412VR51
433b0ce5-2297-4aa0-8fb1-cf6faf3bb13f.local.transcript.bam BS_H412VR51
4347f118-dbe5-4d6f-8180-360a5a55130d.bam BS_KSHETTQC
43522a66-ff59-4aff-9e61-10ba5d573755.bam BS_8YAAB0SV
43522a66-ff59-4aff-9e61-10ba5d573755.local.transcript.bam BS_8YAAB0SV
436fb9c6-7a44-46cf-88d1-5affadc97057.local.transcript.bam BS_DMP9YJJY
44869b90-5c9b-4cc0-bea8-35bdd0c1c90e.bam BS_8Q8N6AHW
44add336-6e3e-4074-a9f7-992dca97bbed.bam BS_FCQF3WGC
44add336-6e3e-4074-a9f7-992dca97bbed.local.transcript.bam BS_FCQF3WGC
45979bcf-1929-494c-a66d-0924743e9198.bam BS_F94HWZMJ
45979bcf-1929-494c-a66d-0924743e9198.local.transcript.bam BS_F94HWZMJ
45afbeb2-6632-48dc-a32c-9396ffbb2ec4.bam BS_MNVF4SJ5
45afbeb2-6632-48dc-a32c-9396ffbb2ec4.local.transcript.bam BS_MNVF4SJ5
47563044-c6e3-490c-822e-52e759033e76.bam BS_2CQ6K2JW
476db8dd-1167-4f61-be5e-bae42ef29363.bam BS_T0NJB3F1
476db8dd-1167-4f61-be5e-bae42ef29363.local.transcript.bam BS_T0NJB3F1
48b6b8b2-3d78-487a-9249-3251cee95f02.bam BS_XGVSX8BX
48d8ba16-8223-4967-aee3-c6301f9720fe.bam BS_B9QP40ER
48e3458a-198e-4013-a302-9d505b87ffdb.bam BS_MT8N2MCQ
48e3458a-198e-4013-a302-9d505b87ffdb.local.transcript.bam BS_MT8N2MCQ
49467b2f-f8fc-4252-b9e3-90ebf06acf26.bam BS_PP4WJBNR
499ccd2b-11c1-4b4c-ad10-2da3f6d969ef.bam BS_Z1BBZ01F
49f8d1f9-b932-4aa8-911b-03dfce95c9bc.bam BS_YV4W27PQ
49f8d1f9-b932-4aa8-911b-03dfce95c9bc.local.transcript.bam BS_YV4W27PQ
4ab36d8a-15db-4a1e-aefc-13aad0d314b5.bam BS_V6HKXX1Z
4aede77d-74b1-4c5d-85d6-f2dba593b3aa.bam BS_ZXP6G6WS
4b491e7b-11ff-4ab4-92e6-774a27b97332.bam BS_B6K0N6HS
4b6f7c72-a032-4d20-830b-8c4e62b95bf3.bam BS_AQQY8HMR
4d18391f-dff4-44de-a6f6-0697b1057834.bam BS_KHWN916R
4d18391f-dff4-44de-a6f6-0697b1057834.local.transcript.bam BS_KHWN916R
4dae6aa4-66bf-4908-820f-c6a4e0b9135f.bam BS_VKJXYQ06
4dae6aa4-66bf-4908-820f-c6a4e0b9135f.local.transcript.bam BS_VKJXYQ06
4e73f2d2-517e-4ccf-939c-9e3d05eedecd.bam BS_XEVMEYFS
4f23af5a-8b62-421d-995a-296b9d1ce100.bam BS_BWFKJ9A1
4f23af5a-8b62-421d-995a-296b9d1ce100.local.transcript.bam BS_BWFKJ9A1
4f3a156d-fc6f-4c55-8241-41c7f4ff4a75.bam BS_WRJNMEX2
4face782-9818-4d9b-b5f0-11e9c291dc2f.bam BS_RQ5Z7KNW
500284b2-cbda-4b18-a425-c0b73c6923cc.bam BS_WQQN3JME
500284b2-cbda-4b18-a425-c0b73c6923cc.local.transcript.bam BS_WQQN3JME
501502d2-be5c-4763-b92e-b34672958d0d.bam BS_QRC1PVWJ
501502d2-be5c-4763-b92e-b34672958d0d.local.transcript.bam BS_QRC1PVWJ
50c524b3-39f5-46d5-a121-c4a4d719e285.bam BS_08FRJ0WK
50c524b3-39f5-46d5-a121-c4a4d719e285.local.transcript.bam BS_08FRJ0WK
5157a59e-455e-47c3-baf3-defb1552f99b.bam BS_KXZGYANE
5157a59e-455e-47c3-baf3-defb1552f99b.local.transcript.bam BS_KXZGYANE
5382ac95-27bc-4085-a8cb-65ab0f762ff8.bam BS_WHSG35JE
5382ac95-27bc-4085-a8cb-65ab0f762ff8.local.transcript.bam BS_WHSG35JE
540575e0-bafb-4aef-ad97-ecffdbbbfda2.bam BS_QDGHHS4S
5563c4c1-77fe-4fc3-b708-26f86e7ba9ba.bam BS_KWAEGBDD
5563c4c1-77fe-4fc3-b708-26f86e7ba9ba.local.transcript.bam BS_KWAEGBDD
564a6137-a0d3-410c-981c-7a6bfce2cffc.bam BS_P8WN8XEQ
5678440a-10c0-41f8-9282-8b1cae1d6550.bam BS_386BWNTQ
5678440a-10c0-41f8-9282-8b1cae1d6550.local.transcript.bam BS_386BWNTQ
56e25623-c99c-4a20-9542-07c435f9ce85.bam BS_4XPPZTGG
57227244-b95c-4b3b-ac08-48e1c406c346.bam BS_RJZXADZX
57227244-b95c-4b3b-ac08-48e1c406c346.local.transcript.bam BS_RJZXADZX
57ab3042-af2d-4604-b077-e6e34e881bee.bam BS_RKRBJ093
57ab3042-af2d-4604-b077-e6e34e881bee.local.transcript.bam BS_RKRBJ093
581d447c-e4c1-47cb-8617-1baff3d88cf1.bam BS_VDSR4X6N
58bc8e6c-895f-4ea2-98f2-e3359825715f.bam BS_MWZCP1XW
5952f23b-bc8a-4fc6-81e5-d9a199deaee6.bam BS_GXACEYKB
5a5dd3f3-7766-40c5-88d5-d3ad2c6ea42a.bam BS_BQWMQM2Y
5ac839cd-ce89-4655-a571-041bcf3bb851.bam BS_7GES2R2P
5ac839cd-ce89-4655-a571-041bcf3bb851.local.transcript.bam BS_7GES2R2P
5afc9089-887d-4272-9299-83bd2ba2811d.bam BS_MH1NSSSC
5afc9089-887d-4272-9299-83bd2ba2811d.local.transcript.bam BS_MH1NSSSC
5c469704-6ba0-44cd-9584-45fa01a01858.bam BS_9GJHMA3J
5c6a9574-42a7-4902-af5f-cacf203cb5de.bam BS_71KXFPBB
5c6a9574-42a7-4902-af5f-cacf203cb5de.local.transcript.bam BS_71KXFPBB
5c7b796a-61d4-453c-9b23-ae8f1d84a25f.bam BS_M9YZK3SP
5eccd3c9-c328-4c88-8b96-9c2ea433f4ec.bam BS_RZE210X3
5eccd3c9-c328-4c88-8b96-9c2ea433f4ec.local.transcript.bam BS_RZE210X3
5f310e72-5798-4e8c-a815-bac2e2ca3ab5.bam BS_CSFDD4G3
5f310e72-5798-4e8c-a815-bac2e2ca3ab5.local.transcript.bam BS_CSFDD4G3
6059a69b-2d0b-43ca-ab4f-27508637398c.bam BS_A4KYP5H0
609a223f-fd88-4b5b-8565-0aa4d4b9c94a.bam BS_17FVWMNV
60c4440c-e882-464c-beff-0e88a546c930.bam BS_5J5QQR6R
60c4440c-e882-464c-beff-0e88a546c930.local.transcript.bam BS_5J5QQR6R
6187bf34-e8b5-42ee-9387-c30110e32f04.bam BS_E5GBG323
6187bf34-e8b5-42ee-9387-c30110e32f04.local.transcript.bam BS_E5GBG323
6195a2e0-fc01-4fc3-9ae1-8979e9fa57d7.bam BS_TZPJHKQR
61ac3d46-3496-434e-a839-ad856b0b3c73.bam BS_M5K0QCVM
61ac3d46-3496-434e-a839-ad856b0b3c73.local.transcript.bam BS_M5K0QCVM
628421ee-eab1-48ff-93f7-a19e09521fab.bam BS_56FFNFMK
628421ee-eab1-48ff-93f7-a19e09521fab.local.transcript.bam BS_56FFNFMK
62c38b2e-003d-48eb-96ba-c63eb28dfc53.bam BS_32VQRFDS
62d7c0c9-27eb-4cff-86f6-9c9e5ef6fd63.bam BS_3QJYPF6T
62d7c0c9-27eb-4cff-86f6-9c9e5ef6fd63.local.transcript.bam BS_3QJYPF6T
6473d485-a990-493f-bc9c-6f6d79244e4e.bam BS_W2QCHQ7E
648b9dda-3391-40e8-8000-b1c2e50db67b.bam BS_0J5GC803
64d3761f-d32e-4bc2-b8f6-83c04a324f9e.bam BS_VHD4ARSG
655e7a6c-8d87-445d-aeb9-ae71b0261c65.bam BS_WEGGXVYA
65e1249f-d6d9-49e1-b471-84ce25366c68.bam BS_3CNESAFV
65e1249f-d6d9-49e1-b471-84ce25366c68.local.transcript.bam BS_3CNESAFV
661e9c91-c91d-43d5-8d0a-17267fe08b09.bam BS_6SA5B35V
68b4c9dc-1cc6-4cc2-a056-cb53b8fc8fa6.bam BS_XR6TPJPN
68b4c9dc-1cc6-4cc2-a056-cb53b8fc8fa6.local.transcript.bam BS_XR6TPJPN
6a8b2e04-6c3f-4639-9dd0-e84ec4f2a7d2.bam BS_JA85EJD2
6a8b2e04-6c3f-4639-9dd0-e84ec4f2a7d2.local.transcript.bam BS_JA85EJD2
6a90893f-66cc-446a-a889-1510561136c0.bam BS_9W6FK6X4
6a994be9-cdcb-41fc-8511-c875f317f874.bam BS_G3EPRD2D
6a994be9-cdcb-41fc-8511-c875f317f874.local.transcript.bam BS_G3EPRD2D
6ab714a9-c326-48cc-b321-24f5c31d548a.bam BS_SPJJVFWS
6ab714a9-c326-48cc-b321-24f5c31d548a.local.transcript.bam BS_SPJJVFWS
6ab96161-375c-45e5-a041-0929026a48ee.bam BS_R69W3MYZ
6ab96161-375c-45e5-a041-0929026a48ee.local.transcript.bam BS_R69W3MYZ
6b93178b-65b4-4e99-9e93-707bdf00b141.bam BS_MVC1NCZX
6c956b80-1657-4308-b283-1ea444ecc875.bam BS_7YHXGEZ6
6c956b80-1657-4308-b283-1ea444ecc875.local.transcript.bam BS_7YHXGEZ6
6cc96232-8033-4bd4-81d5-c1d09b375672.bam BS_11322HD1
6cffe975-ddd9-4165-878b-965699055f24.bam BS_NDJRH7DQ
6cffe975-ddd9-4165-878b-965699055f24.local.transcript.bam BS_NDJRH7DQ
6de95b74-fac5-43bb-b696-db5d8d2cb0bc.bam BS_E1RJZZYD
6de95b74-fac5-43bb-b696-db5d8d2cb0bc.local.transcript.bam BS_E1RJZZYD
6e42c897-be8b-490c-8cb2-e9495610b10d.bam BS_9B3DBSPK
6e42c897-be8b-490c-8cb2-e9495610b10d.local.transcript.bam BS_9B3DBSPK
6f4a915f-967d-4be2-9f10-251d480c82f8.bam BS_00TRPEQX
7256b20b-6b48-433a-81c9-8c97dcdccc4a.bam BS_NFZ7ZJ8R
7256b20b-6b48-433a-81c9-8c97dcdccc4a.local.transcript.bam BS_NFZ7ZJ8R
7316-1057-RNA_401550_1.fq.gz BS_HYBZ7CY2
7316-1057-RNA_401550_2.fq.gz BS_HYBZ7CY2
7316-109T2_232B_S4_L004_R1_001.fastq.gz BS_DJ2MRB8Z
7316-109T2_232B_S4_L004_R2_001.fastq.gz BS_DJ2MRB8Z
7316-109T2_260A_S3_L005_R1_001.fastq.gz BS_DJ2MRB8Z
7316-109T2_260A_S3_L005_R2_001.fastq.gz BS_DJ2MRB8Z
7316-109_1_1.fq.gz BS_R7QJBJXR
7316-109_1_2.fq.gz BS_R7QJBJXR
7316-135T_S3_L003_R1_001.fastq.gz BS_R5ZR0W5X
7316-135T_S3_L003_R2_001.fastq.gz BS_R5ZR0W5X
7316-135T_S7_L007_R1_001.fastq.gz BS_R5ZR0W5X
7316-135T_S7_L007_R2_001.fastq.gz BS_R5ZR0W5X
7316-1455-RNA_400856_1.fq.gz BS_05S4TKGF
7316-1455-RNA_400856_2.fq.gz BS_05S4TKGF
7316-1460T_S1_L001_R1_001.fastq.gz BS_CR48E7HY
7316-1460T_S1_L001_R2_001.fastq.gz BS_CR48E7HY
7316-1460T_S5_L005_R1_001.fastq.gz BS_CR48E7HY
7316-1460T_S5_L005_R2_001.fastq.gz BS_CR48E7HY
7316-1460_1_1.fq.gz BS_X3B671ED
7316-1460_1_2.fq.gz BS_X3B671ED
7316-14T_S2_L002_R1_001.fastq.gz BS_QJHXQ20N
7316-14T_S2_L002_R2_001.fastq.gz BS_QJHXQ20N
7316-14T_S6_L006_R1_001.fastq.gz BS_QJHXQ20N
7316-14T_S6_L006_R2_001.fastq.gz BS_QJHXQ20N
7316-14_1_1.fq.gz BS_2F9NHBB7
7316-14_1_2.fq.gz BS_2F9NHBB7
7316-155-RNA_406957_1.fq.gz BS_B9XQFDM0
7316-155-RNA_406957_2.fq.gz BS_B9XQFDM0
7316-158-RNA_398452_1.fq.gz BS_HWR4SGSZ
7316-158-RNA_398452_2.fq.gz BS_HWR4SGSZ
7316-158T_S4_L004_R1_001.fastq.gz BS_SMD3ZVX8
7316-158T_S4_L004_R2_001.fastq.gz BS_SMD3ZVX8
7316-158T_S8_L008_R1_001.fastq.gz BS_SMD3ZVX8
7316-158T_S8_L008_R2_001.fastq.gz BS_SMD3ZVX8
7316-158_1.fq.gz BS_A699S59S
7316-158_2.fq.gz BS_A699S59S
7316-161-RNA_406959_1.fq.gz BS_ZFPBXSP3
7316-161-RNA_406959_2.fq.gz BS_ZFPBXSP3
7316-178T2_232A_S4_L004_R1_001.fastq.gz BS_VJX8YRFZ
7316-178T2_232A_S4_L004_R2_001.fastq.gz BS_VJX8YRFZ
7316-178T2_261A_S3_L004_R1_001.fastq.gz BS_VJX8YRFZ
7316-178T2_261A_S3_L004_R2_001.fastq.gz BS_VJX8YRFZ
7316-179T2_232A_S3_L003_R1_001.fastq.gz BS_S683W7GK
7316-179T2_232A_S3_L003_R2_001.fastq.gz BS_S683W7GK
7316-179T2_232B_S1_L001_R1_001.fastq.gz BS_S683W7GK
7316-179T2_232B_S1_L001_R2_001.fastq.gz BS_S683W7GK
7316-179_1.fq.gz BS_J60NJWV0
7316-179_2.fq.gz BS_J60NJWV0
7316-1884T_S3_L003_R1_001.fastq.gz BS_E4315QPM
7316-1884T_S3_L003_R2_001.fastq.gz BS_E4315QPM
7316-1884T_S7_L007_R1_001.fastq.gz BS_E4315QPM
7316-1884T_S7_L007_R2_001.fastq.gz BS_E4315QPM
7316-1884_1_1.fq.gz BS_KB5JTEPX
7316-1884_1_2.fq.gz BS_KB5JTEPX
7316-194-RNA_406978_1.fq.gz BS_N3MA6NXJ
7316-194-RNA_406978_2.fq.gz BS_N3MA6NXJ
7316-204-RNA_398058_1.fq.gz BS_N5WBFPTA
7316-204-RNA_398058_2.fq.gz BS_N5WBFPTA
7316-219-DNA394877_S4_L004_R1_001.fastq.gz BS_G29BJHQX
7316-219-DNA394877_S4_L004_R2_001.fastq.gz BS_G29BJHQX
7316-219T_S1_L001_R1_001.fastq.gz BS_PFTJWY3H
7316-219T_S1_L001_R2_001.fastq.gz BS_PFTJWY3H
7316-219T_S5_L005_R1_001.fastq.gz BS_PFTJWY3H
7316-219T_S5_L005_R2_001.fastq.gz BS_PFTJWY3H
7316-219_1.fq.gz BS_GNHH0XSZ
7316-219_2.fq.gz BS_GNHH0XSZ
7316-238T_S2_L002_R1_001.fastq.gz BS_4QN8RRBT
7316-238T_S2_L002_R2_001.fastq.gz BS_4QN8RRBT
7316-238T_S6_L006_R1_001.fastq.gz BS_4QN8RRBT
7316-238T_S6_L006_R2_001.fastq.gz BS_4QN8RRBT
7316-238_1.fq.gz BS_HGNQ2EFH
7316-238_2.fq.gz BS_HGNQ2EFH
7316-255-RNA_401560_1.fq.gz BS_RMK975P7
7316-255-RNA_401560_2.fq.gz BS_RMK975P7
7316-278T_S3_L003_R1_001.fastq.gz BS_4QN8RRBT
7316-278T_S3_L003_R2_001.fastq.gz BS_4QN8RRBT
7316-278T_S7_L007_R1_001.fastq.gz BS_4QN8RRBT
7316-278T_S7_L007_R2_001.fastq.gz BS_4QN8RRBT
7316-287-RNA_398451_1.fq.gz BS_V7NX7HYT
7316-287-RNA_398451_2.fq.gz BS_V7NX7HYT
7316-288-RNA_398450_1.fq.gz BS_P4EDPJ9C
7316-288-RNA_398450_2.fq.gz BS_P4EDPJ9C
7316-302T_S4_L004_R1_001.fastq.gz BS_0FDD6BZJ
7316-302T_S4_L004_R2_001.fastq.gz BS_0FDD6BZJ
7316-302T_S8_L008_R1_001.fastq.gz BS_0FDD6BZJ
7316-302T_S8_L008_R2_001.fastq.gz BS_0FDD6BZJ
7316-302_1_1.fq.gz BS_4ZR413GK
7316-302_1_2.fq.gz BS_4ZR413GK
7316-333-RNA_398057_1.fq.gz BS_6MYDMBBW
7316-333-RNA_398057_2.fq.gz BS_6MYDMBBW
7316-343-RNA_401742_1.fq.gz BS_NXH47F9Q
7316-343-RNA_401742_2.fq.gz BS_NXH47F9Q
7316-378T2_260A_S4_L006_R1_001.fastq.gz BS_SQF0NPH4
7316-378T2_260A_S4_L006_R2_001.fastq.gz BS_SQF0NPH4
7316-378T2_262B_S2_L002_R1_001.fastq.gz BS_SQF0NPH4
7316-378T2_262B_S2_L002_R2_001.fastq.gz BS_SQF0NPH4
7316-378_1.fq.gz BS_FHKKA4FW
7316-378_2.fq.gz BS_FHKKA4FW
7316-388-RNA_398449_1.fq.gz BS_HKQD76HT
7316-388-RNA_398449_2.fq.gz BS_HKQD76HT
7316-392-RNA_401743_1.fq.gz BS_Q5QBCYVJ
7316-392-RNA_401743_2.fq.gz BS_Q5QBCYVJ
7316-409-RNA_398448_1.fq.gz BS_W9FGAS6J
7316-409-RNA_398448_2.fq.gz BS_W9FGAS6J
7316-445-RNA_401741_1.fq.gz BS_B691297B
7316-445-RNA_401741_2.fq.gz BS_B691297B
7316-466-RNA_401561_1.fq.gz BS_JWKZ0FAK
7316-466-RNA_401561_2.fq.gz BS_JWKZ0FAK
7316-467T2_232A_S1_L001_R1_001.fastq.gz BS_R5XRCC85
7316-467T2_232A_S1_L001_R2_001.fastq.gz BS_R5XRCC85
7316-467T2_260A_S6_L008_R1_001.fastq.gz BS_R5XRCC85
7316-467T2_260A_S6_L008_R2_001.fastq.gz BS_R5XRCC85
7316-467_1.fq.gz BS_8JG0DNF1
7316-467_2.fq.gz BS_8JG0DNF1
7316-512-RNA_401962_1.fq.gz BS_6B9ZECE3
7316-512-RNA_401962_2.fq.gz BS_6B9ZECE3
7316-536-RNA_400788_1.fq.gz BS_8A3YV7JK
7316-536-RNA_400788_2.fq.gz BS_8A3YV7JK
7316-619-RNA_400121_1.fq.gz BS_JXQDV4JD
7316-619-RNA_400121_2.fq.gz BS_JXQDV4JD
7316-620-RNA_400120_1.fq.gz BS_ZAHTDWWT
7316-620-RNA_400120_2.fq.gz BS_ZAHTDWWT
7316-622-RNA_400789_1.fq.gz BS_YKP0W06J
7316-622-RNA_400789_2.fq.gz BS_YKP0W06J
7316-624-RNA_400268_1.fq.gz BS_575DB4DC
7316-624-RNA_400268_2.fq.gz BS_575DB4DC
7316-6B_S5_L005_R1_001.fastq.gz BS_R7Q4KG2A
7316-6B_S5_L005_R2_001.fastq.gz BS_R7Q4KG2A
7316-716-RNA_400787_1.fq.gz BS_57WP0FEH
7316-716-RNA_400787_2.fq.gz BS_57WP0FEH
7316-784-RNA_401961_1.fq.gz BS_JP1D92CG
7316-784-RNA_401961_2.fq.gz BS_JP1D92CG
7316-804-RNA_400267_1.fq.gz BS_K3XG7DQH
7316-804-RNA_400267_2.fq.gz BS_K3XG7DQH
7316-840-RNA_400764_1.fq.gz BS_TX846EEG
7316-840-RNA_400764_2.fq.gz BS_TX846EEG
7316-85-RNA_398059_1.fq.gz BS_1A2YT839
7316-85-RNA_398059_2.fq.gz BS_1A2YT839
7316-87-RNA_401963_1.fq.gz BS_TCEYT5RR
7316-87-RNA_401963_2.fq.gz BS_TCEYT5RR
7316-870-RNA_398453_1.fq.gz BS_K42SMP2H
7316-870-RNA_398453_2.fq.gz BS_K42SMP2H
7316-87T_S2_L002_R1_001.fastq.gz BS_A1H6JT0E
7316-87T_S2_L002_R2_001.fastq.gz BS_A1H6JT0E
7316-87T_S6_L006_R1_001.fastq.gz BS_A1H6JT0E
7316-87T_S6_L006_R2_001.fastq.gz BS_A1H6JT0E
7316-87T_S6_L008_R1_001.fastq.gz BS_A1H6JT0E
7316-87T_S6_L008_R2_001.fastq.gz BS_A1H6JT0E
7316-87_1.fq.gz BS_EWVTCTVY
7316-87_2.fq.gz BS_EWVTCTVY
7316-883T2_232A_S8_L008_R1_001.fastq.gz BS_K48502MR
7316-883T2_232A_S8_L008_R2_001.fastq.gz BS_K48502MR
7316-883T2_260A_S5_L007_R1_001.fastq.gz BS_K48502MR
7316-883T2_260A_S5_L007_R2_001.fastq.gz BS_K48502MR
7316-883_1.fq.gz BS_T41WK6T8
7316-883_2.fq.gz BS_T41WK6T8
7316-931T2_232A_S7_L007_R1_001.fastq.gz BS_K45CVRJH
7316-931T2_232A_S7_L007_R2_001.fastq.gz BS_K45CVRJH
